cruise,file,time,lat,lon,opp_evt_ratio,flow_rate,file_duration,pop,n_count,abundance,fsc_small_mean,chl_small_mean,pe_mean,fsc_perp_mean,flag
SCOPE_1,2014_345/2014-12-11T23-00-02+00-00,2014-12-11 23:00:02,22.6746,-157.9681,0.0076685714239682,2277.73616,180.065,synecho,184,3.51011935995626,59.5771724673652,61.7780635607778,67.2438202040562,58.5090048836016,0
SCOPE_1,2014_345/2014-12-11T23-00-02+00-00,2014-12-11 23:00:02,22.6746,-157.9681,0.0076685714239682,2277.73616,180.065,unknown,837,15.9672277406706,103.839709487586,8.14435427551589,2.83287018311639,58.4833744963941,0
SCOPE_1,2014_345/2014-12-11T23-03-02+00-00,2014-12-11 23:03:02,22.6746,-157.9682,0.00745141847983207,2277.73616,180.135,beads,29,0.569126454735526,725.906214050897,170.172679892823,1252.21832888143,58.5712967947418,0
SCOPE_1,2014_345/2014-12-11T23-03-02+00-00,2014-12-11 23:03:02,22.6746,-157.9682,0.00745141847983207,2277.73616,180.135,picoeuk,184,3.6110092300461,544.014803630269,853.523896772134,5.54171666064845,58.5300940165667,0
SCOPE_1,2014_345/2014-12-11T23-03-02+00-00,2014-12-11 23:03:02,22.6746,-157.9682,0.00745141847983207,2277.73616,180.135,prochloro,17683,347.029762037528,6.35730517967109,8.97569883200543,1.44514157666606,58.4462723544892,0
SCOPE_1,2014_345/2014-12-11T23-03-02+00-00,2014-12-11 23:03:02,22.6746,-157.9682,0.00745141847983207,2277.73616,180.135,synecho,195,3.82688478184233,64.4574056231776,62.6448463181097,71.0280347077421,58.5099851400239,0
SCOPE_1,2014_345/2014-12-11T23-03-02+00-00,2014-12-11 23:03:02,22.6746,-157.9682,0.00745141847983207,2277.73616,180.135,unknown,879,17.2504190935354,106.304885584675,8.72243530589905,3.13634578192706,58.4750871774019,0
SCOPE_1,2014_345/2014-12-11T23-06-03+00-00,2014-12-11 23:06:03,22.6745,-157.9682,0.00747947165245562,2277.73616,180.027,beads,46,0.899905903180856,715.270841995903,110.084865509661,1316.81547865587,58.5815882502155,0
SCOPE_1,2014_345/2014-12-11T23-06-03+00-00,2014-12-11 23:06:03,22.6745,-157.9682,0.00747947165245562,2277.73616,180.027,picoeuk,169,3.30617603559923,549.585371891479,840.48674971749,4.86587734864422,58.529884528805,0
SCOPE_1,2014_345/2014-12-11T23-06-03+00-00,2014-12-11 23:06:03,22.6745,-157.9682,0.00747947165245562,2277.73616,180.027,prochloro,17730,346.855036160795,6.33169954677193,8.83532132119913,1.44694328040719,58.4488252641666,0
SCOPE_1,2014_345/2014-12-11T23-06-03+00-00,2014-12-11 23:06:03,22.6745,-157.9682,0.00747947165245562,2277.73616,180.027,synecho,165,3.22792334836611,64.4000323467253,65.468797777748,73.2535350414563,58.5019912698531,0
SCOPE_1,2014_345/2014-12-11T23-06-03+00-00,2014-12-11 23:06:03,22.6745,-157.9682,0.00747947165245562,2277.73616,180.027,unknown,868,16.9808331295866,101.801582441956,9.02590105075437,2.58051708530909,58.4782410127724,0
SCOPE_1,2014_345/2014-12-11T23-09-03+00-00,2014-12-11 23:09:03,22.6746,-157.9681,0.00774864079681197,2277.73616,180.124,beads,54,1.01916495642677,725.043467024351,130.416120332429,1288.4082402301,58.5739155423038,0
